Combined EQU and Label Definitions:
TDATA (EQU) in main.asm: TDATA:          EQU	0DCH
TDIM (EQU) in main.asm: TDIM:           EQU	0DEH
TELL (label) in main.asm: Line 2230
TELSE (EQU) in main.asm: TELSE:          EQU	8BH
TENDCASE (EQU) in main.asm: TENDCASE:       EQU	0CBH
TENDIF (EQU) in main.asm: TENDIF:         EQU	0CDH
TENDWHILE (EQU) in main.asm: TENDWHILE:      EQU	0CEH
TERM (label) in asmb.asm: Line 634
TERM0 (label) in asmb.asm: Line 638
TERMQ (label) in exec.asm: Line 2940
TERROR (EQU) in main.asm: TERROR:         EQU	85H
TEST (label) in eval.asm: Line 1711
TESTmat (label) in math.asm: Line 1823
TEXIT (EQU) in main.asm: TEXIT:          EQU	10H
TEXTLF (label) in main.asm: Line 2223
TEXT_ (label) in main.asm: Line 2214
TFILL (EQU) in acorn.asm: TFILL:          EQU	03H
TFN (EQU) in main.asm: TFN:            EQU	0A4H
TFOR (EQU) in main.asm: TFOR:           EQU	0E3H
TGOSUB (EQU) in main.asm: TGOSUB:         EQU	0E4H
TGOTO (EQU) in main.asm: TGOTO:          EQU	0E5H
THROW (label) in exec.asm: Line 398
TIF (EQU) in main.asm: TIF:            EQU	0E7H
TIME0 (label) in eval.asm: Line 981
TIMEV (label) in exec.asm: Line 1919
TIMEVS (label) in exec.asm: Line 1929
TIMEVSev (label) in eval.asm: Line 991
TIMEVev (label) in eval.asm: Line 977
TINT (label) in acorn.asm: Line 752
TINTFN (label) in acorn.asm: Line 753
TINTev (label) in eval.asm: Line 879
TLAST (EQU) in exec.asm: TLAST:          EQU	CMDTAB_END-CMDTAB/2+TBYex-128
TLINE (EQU) in main.asm: TLINE:          EQU	86H
TLINO (EQU) in main.asm: TLINO:          EQU	8DH
TLOCAL (EQU) in main.asm: TLOCAL:         EQU	0EAH
TNEXT (EQU) in main.asm: TNEXT:          EQU	0EDH
TOF (EQU) in main.asm: TOF:            EQU	0CAH
TOKADD (label) in main.asm: Line 826
TOKEN1 (label) in main.asm: Line 1508
TOKHI (EQU) in main.asm: TOKHI:          EQU	93H
TOKLO (EQU) in main.asm: TOKLO:          EQU	8FH
TOKSUB (label) in main.asm: Line 837
TON (EQU) in main.asm: TON:            EQU	0EEH
TOOBIG (EQU) in math.asm: TOOBIG:         EQU	20		;Too big
TOOBIGmn (label) in main.asm: Line 1982
TOOFAR (label) in asmb.asm: Line 311
TOPV (label) in eval.asm: Line 922
TOTHERWISE (EQU) in main.asm: TOTHERWISE:     EQU	0CCH
TPROC (EQU) in main.asm: TPROC:          EQU	0F2H
TRACE (label) in exec.asm: Line 1973
TRACE0 (label) in exec.asm: Line 1982
TRACE1 (label) in exec.asm: Line 1983
TRACEN (label) in data.asm: Line 82
TRAP (label) in agon_os.asm: Line 222
TREM (EQU) in main.asm: TREM:           EQU	0F4H
TREPEAT (EQU) in main.asm: TREPEAT:        EQU	0F5H
TRESTORE (EQU) in main.asm: TRESTORE:       EQU	0F7H
TRUE (label) in math.asm: Line 589
TRUEev (label) in eval.asm: Line 1022
TTHEN (EQU) in main.asm: TTHEN:          EQU	8CH
TTO (EQU) in main.asm: TTO:            EQU	0B8H
TTRACE (EQU) in main.asm: TTRACE:         EQU	0FCH
TUNTIL (EQU) in main.asm: TUNTIL:         EQU	0FDH
TWHEN (EQU) in main.asm: TWHEN:          EQU	0C9H
TWHILE (EQU) in main.asm: TWHILE:         EQU	0C7H
TYPE (label) in main.asm: Line 1887
UNSTAK (label) in exec.asm: Line 2621
UNTIL (label) in exec.asm: Line 958
UNTIL1 (label) in exec.asm: Line 970
UPPRC (label) in agon_os.asm: Line 898
UPPRCmisc (label) in agon_misc.asm: Line 106
USER (label) in data.asm: Line 97
USR (label) in exec.asm: Line 2088
USR1 (label) in exec.asm: Line 2090
USR2 (label) in exec.asm: Line 2109
VAL (label) in math.asm: Line 734
VAL0 (label) in eval.asm: Line 1155
VAL16 (label) in asmb.asm: Line 337
VAL8 (label) in asmb.asm: Line 313
VALev (label) in eval.asm: Line 1154
VAR_ (label) in exec.asm: Line 488
VBLANK_HANDLER (label) in agon_interrupt.asm: Line 105
VBLANK_HANDLER_JP (label) in agon_interrupt.asm: Line 122
VBLANK_HANDLER_MB (label) in agon_interrupt.asm: Line 111
VBLANK_INIT (label) in agon_interrupt.asm: Line 29
VBLANK_STOP (label) in agon_interrupt.asm: Line 51
VDU (label) in exec.asm: Line 1988
VDU1 (label) in exec.asm: Line 1992
VDU2 (label) in exec.asm: Line 2003
VDU25 (label) in acorn.asm: Line 706
VDU3 (label) in exec.asm: Line 2004
VDU4 (label) in exec.asm: Line 2008
VDU_BUFFER (EQU) in equs.inc: VDU_BUFFER:		EQU	ACCS		; Storage for VDU commands
VERMSG (label) in main.asm: Line 192
VPOS (label) in eval.asm: Line 884
WAIT (label) in acorn.asm: Line 654
WAIT1 (label) in acorn.asm: Line 666
WAIT_VBLANK (label) in agon_os.asm: Line 976
WARM (label) in main.asm: Line 199
WARM0 (label) in main.asm: Line 1172
WARMNC (label) in main.asm: Line 945
WHEN (label) in exec.asm: Line 1627
WHICHK (label) in exec.asm: Line 1765
WHILE (label) in exec.asm: Line 1762
WIDFN (label) in acorn.asm: Line 247
WIDTH (label) in data.asm: Line 92
WIDTHV (label) in exec.asm: Line 1963
WRCH2 (label) in acorn.asm: Line 715
WRCH3 (label) in acorn.asm: Line 713
WRCH4 (label) in acorn.asm: Line 711
WRCH5 (label) in acorn.asm: Line 709
WRCH6 (label) in acorn.asm: Line 707
WSRCH (label) in exec.asm: Line 3145
WSRCH1 (label) in exec.asm: Line 3159
WSRCHE (label) in exec.asm: Line 3181
WSRCHM (label) in exec.asm: Line 3168
WSRCHP (label) in exec.asm: Line 3174
WSRCHX (label) in exec.asm: Line 3177
X10 (label) in math.asm: Line 1938
X10B (label) in math.asm: Line 1904
X14OR5 (label) in exec.asm: Line 3205
X2 (label) in math.asm: Line 1945
X5 (label) in math.asm: Line 1906
XEQ (label) in exec.asm: Line 304
XEQ0 (label) in exec.asm: Line 296
XEQ1 (label) in exec.asm: Line 306
XEQGO (label) in exec.asm: Line 1297
XEQGO1 (label) in acorn.asm: Line 393
XEQGO1ex (label) in exec.asm: Line 1959
XEQGO2 (label) in acorn.asm: Line 650
XEQGO2ex (label) in exec.asm: Line 979
XEQGO3 (label) in exec.asm: Line 839
XEQGO4 (label) in exec.asm: Line 469
XEQGO5 (label) in exec.asm: Line 1773
XEQGO6 (label) in exec.asm: Line 1386
XEQGO7 (label) in exec.asm: Line 1623
XTRAC1 (label) in exec.asm: Line 3053
XTRACT (label) in exec.asm: Line 3047
ZERO (label) in eval.asm: Line 1830
ZEROmat (label) in math.asm: Line 1857
_autoload (label) in agon_init.asm: Line 123
_exec_name (label) in agon_init.asm: Line 60
_get_token (label) in agon_init.asm: Line 188
_main (label) in agon_init.asm: Line 110
_parse_params (label) in agon_init.asm: Line 146
_parse_params_1 (label) in agon_init.asm: Line 157
_set_abc24 (label) in agon_init.asm: Line 220
_set_aix24 (label) in agon_init.asm: Line 236
_skip_spaces (label) in agon_init.asm: Line 207
_start (label) in agon_init.asm: Line 65
_startbasic (label) in agon_init.asm: Line 134
argv_ptrs (label) in agon_init.asm: Line 245
argv_ptrs_max (EQU) in agon_init.asm: argv_ptrs_max:		EQU	16				; Maximum number of arguments allowed in argv
fa_create_always (EQU) in mos_api.inc: fa_create_always:	EQU	08h
fa_create_new (EQU) in mos_api.inc: fa_create_new:		EQU	04h
fa_open_always (EQU) in mos_api.inc: fa_open_always:		EQU	10h
fa_open_append (EQU) in mos_api.inc: fa_open_append:		EQU	30h
fa_open_existing (EQU) in mos_api.inc: fa_open_existing:	EQU	00h
fa_read (EQU) in mos_api.inc: fa_read:		EQU	01h
fa_write (EQU) in mos_api.inc: fa_write:		EQU	02h
ffs_chdir (EQU) in mos_api.inc: ffs_chdir:		EQU	9Ch
ffs_chdrive (EQU) in mos_api.inc: ffs_chdrive:		EQU	9Dh
ffs_chmod (EQU) in mos_api.inc: ffs_chmod:		EQU	99h
ffs_dclose (EQU) in mos_api.inc: ffs_dclose:		EQU	92h
ffs_dfindfirst (EQU) in mos_api.inc: ffs_dfindfirst:		EQU	94h
ffs_dfindnext (EQU) in mos_api.inc: ffs_dfindnext:		EQU	95h
ffs_dopen (EQU) in mos_api.inc: ffs_dopen:		EQU	91h
ffs_dread (EQU) in mos_api.inc: ffs_dread:		EQU	93h
ffs_fclose (EQU) in mos_api.inc: ffs_fclose:		EQU	81h
ffs_fdisk (EQU) in mos_api.inc: ffs_fdisk:		EQU	A1h
ffs_feof (EQU) in mos_api.inc: ffs_feof:		EQU	8Eh
ffs_ferror (EQU) in mos_api.inc: ffs_ferror:		EQU	90h
ffs_fexpand (EQU) in mos_api.inc: ffs_fexpand:		EQU	88h
ffs_fforward (EQU) in mos_api.inc: ffs_fforward:		EQU	87h
ffs_fgets (EQU) in mos_api.inc: ffs_fgets:		EQU	89h
ffs_flseek (EQU) in mos_api.inc: ffs_flseek:		EQU	84h
ffs_fopen (EQU) in mos_api.inc: ffs_fopen:		EQU	80h
ffs_fprintf (EQU) in mos_api.inc: ffs_fprintf:		EQU	8Ch
ffs_fputc (EQU) in mos_api.inc: ffs_fputc:		EQU	8Ah
ffs_fputs (EQU) in mos_api.inc: ffs_fputs:		EQU	8Bh
ffs_fread (EQU) in mos_api.inc: ffs_fread:		EQU	82h
ffs_fsize (EQU) in mos_api.inc: ffs_fsize:		EQU	8Fh
ffs_fsync (EQU) in mos_api.inc: ffs_fsync:		EQU	86h
ffs_ftell (EQU) in mos_api.inc: ffs_ftell:		EQU	8Dh
ffs_ftruncate (EQU) in mos_api.inc: ffs_ftruncate:		EQU	85h
ffs_fwrite (EQU) in mos_api.inc: ffs_fwrite:		EQU	83h
ffs_getcwd (EQU) in mos_api.inc: ffs_getcwd:		EQU	9Eh
ffs_getfree (EQU) in mos_api.inc: ffs_getfree:		EQU	A2h
ffs_getlabel (EQU) in mos_api.inc: ffs_getlabel:		EQU	A3h
ffs_mkdir (EQU) in mos_api.inc: ffs_mkdir:		EQU	9Bh
ffs_mkfs (EQU) in mos_api.inc: ffs_mkfs:		EQU	A0h
ffs_mount (EQU) in mos_api.inc: ffs_mount:		EQU	9Fh
ffs_rename (EQU) in mos_api.inc: ffs_rename:		EQU	98h
ffs_setcp (EQU) in mos_api.inc: ffs_setcp:		EQU	A5h
ffs_setlabel (EQU) in mos_api.inc: ffs_setlabel:		EQU	A4h
ffs_stat (EQU) in mos_api.inc: ffs_stat:		EQU	96h
ffs_unlink (EQU) in mos_api.inc: ffs_unlink:		EQU	97h
ffs_utime (EQU) in mos_api.inc: ffs_utime:		EQU	9Ah
mos_cd (EQU) in mos_api.inc: mos_cd:			EQU	03h
mos_copy (EQU) in mos_api.inc: mos_copy:		EQU	11h
mos_del (EQU) in mos_api.inc: mos_del:		EQU	05h
mos_dir (EQU) in mos_api.inc: mos_dir:		EQU	04h
mos_editline (EQU) in mos_api.inc: mos_editline:		EQU	09h
mos_fclose (EQU) in mos_api.inc: mos_fclose:		EQU	0Bh
mos_feof (EQU) in mos_api.inc: mos_feof:		EQU	0Eh
mos_fgetc (EQU) in mos_api.inc: mos_fgetc:		EQU	0Ch
mos_flseek (EQU) in mos_api.inc: mos_flseek:		EQU	1Ch
mos_fopen (EQU) in mos_api.inc: mos_fopen:		EQU	0Ah
mos_fputc (EQU) in mos_api.inc: mos_fputc:		EQU	0Dh
mos_fread (EQU) in mos_api.inc: mos_fread:		EQU	1Ah
mos_fwrite (EQU) in mos_api.inc: mos_fwrite:		EQU	1Bh
mos_getError (EQU) in mos_api.inc: mos_getError:		EQU	0Fh
mos_getfil (EQU) in mos_api.inc: mos_getfil:		EQU	19h
mos_getkbmap (EQU) in mos_api.inc: mos_getkbmap:		EQU	1Eh
mos_getkey (EQU) in mos_api.inc: mos_getkey:		EQU	00h
mos_getrtc (EQU) in mos_api.inc: mos_getrtc:		EQU	12h
mos_i2c_close (EQU) in mos_api.inc: mos_i2c_close:		EQU	20h
mos_i2c_open (EQU) in mos_api.inc: mos_i2c_open:		EQU	1Fh
mos_i2c_read (EQU) in mos_api.inc: mos_i2c_read:		EQU	22h
mos_i2c_write (EQU) in mos_api.inc: mos_i2c_write:		EQU	21h
mos_load (EQU) in mos_api.inc: mos_load:		EQU	01h
mos_mkdir (EQU) in mos_api.inc: mos_mkdir:		EQU	07h
mos_oscli (EQU) in mos_api.inc: mos_oscli:		EQU	10h
mos_ren (EQU) in mos_api.inc: mos_ren:		EQU	06h
mos_save (EQU) in mos_api.inc: mos_save:		EQU	02h
mos_setintvector (EQU) in mos_api.inc: mos_setintvector:	EQU	14h
mos_setkbvector (EQU) in mos_api.inc: mos_setkbvector:	EQU	1Dh
mos_setrtc (EQU) in mos_api.inc: mos_setrtc:		EQU	13h
mos_sysvars (EQU) in mos_api.inc: mos_sysvars:		EQU	08h
mos_uclose (EQU) in mos_api.inc: mos_uclose:		EQU	16h
mos_ugetc (EQU) in mos_api.inc: mos_ugetc:		EQU	17h
mos_uopen (EQU) in mos_api.inc: mos_uopen:		EQU	15h
mos_uputc (EQU) in mos_api.inc: mos_uputc:		EQU 	18h
sysvar_audioChannel (EQU) in mos_api.inc: sysvar_audioChannel:	EQU	0Dh	; 1: Audio channel
sysvar_audioSuccess (EQU) in mos_api.inc: sysvar_audioSuccess:	EQU	0Eh	; 1: Audio channel note queued (0 = no, 1 = yes)
sysvar_cursorX (EQU) in mos_api.inc: sysvar_cursorX:		EQU	07h	; 1: Cursor X position
sysvar_cursorY (EQU) in mos_api.inc: sysvar_cursorY:		EQU	08h	; 1: Cursor Y position
sysvar_keyascii (EQU) in mos_api.inc: sysvar_keyascii:	EQU	05h	; 1: ASCII keycode, or 0 if no key is pressed
sysvar_keydelay (EQU) in mos_api.inc: sysvar_keydelay:	EQU	22h	; 2: Keyboard repeat delay
sysvar_keyled (EQU) in mos_api.inc: sysvar_keyled:		EQU	26h	; 1: Keyboard LED status
sysvar_keymods (EQU) in mos_api.inc: sysvar_keymods:		EQU	06h	; 1: Keycode modifiers
sysvar_keyrate (EQU) in mos_api.inc: sysvar_keyrate:		EQU	24h	; 2: Keyboard repeat reat
sysvar_mouseButtons (EQU) in mos_api.inc: sysvar_mouseButtons:	EQU	2Dh	; 1: Mouse button state
sysvar_mouseWheel (EQU) in mos_api.inc: sysvar_mouseWheel:	EQU	2Eh	; 1: Mouse wheel delta
sysvar_mouseX (EQU) in mos_api.inc: sysvar_mouseX:		EQU	29h	; 2: Mouse X position
sysvar_mouseXDelta (EQU) in mos_api.inc: sysvar_mouseXDelta:	EQU	2Fh	; 2: Mouse X delta
sysvar_mouseY (EQU) in mos_api.inc: sysvar_mouseY:		EQU	2Bh	; 2: Mouse Y position
sysvar_mouseYDelta (EQU) in mos_api.inc: sysvar_mouseYDelta:	EQU	31h	; 2: Mouse Y delta
sysvar_rtc (EQU) in mos_api.inc: sysvar_rtc:		EQU	1Ah	; 6: Real time clock data
sysvar_rtcEnable (EQU) in mos_api.inc: sysvar_rtcEnable:	EQU	28h	; 1: RTC enable flag (0: disabled, 1: use ESP32 RTC)
sysvar_scrColours (EQU) in mos_api.inc: sysvar_scrColours:	EQU	15h	; 1: Number of colours displayed
sysvar_scrCols (EQU) in mos_api.inc: sysvar_scrCols:		EQU	13h	; 1: Screen columns in characters
sysvar_scrHeight (EQU) in mos_api.inc: sysvar_scrHeight:	EQU	11h	; 2: Screen height in pixels
sysvar_scrMode (EQU) in mos_api.inc: sysvar_scrMode:		EQU	27h	; 1: Screen mode
sysvar_scrRows (EQU) in mos_api.inc: sysvar_scrRows:		EQU	14h	; 1: Screen rows in characters
sysvar_scrWidth (EQU) in mos_api.inc: sysvar_scrWidth:	EQU	0Fh	; 2: Screen width in pixels
sysvar_scrchar (EQU) in mos_api.inc: sysvar_scrchar:		EQU	09h	; 1: Character read from screen
sysvar_scrpixel (EQU) in mos_api.inc: sysvar_scrpixel:	EQU	0Ah	; 3: Pixel data read from screen (R,B,G)
sysvar_scrpixelIndex (EQU) in mos_api.inc: sysvar_scrpixelIndex:	EQU	16h	; 1: Index of pixel data read from screen
sysvar_spare (EQU) in mos_api.inc: sysvar_spare:		EQU	20h	; 2: Spare, previously used by rtc
sysvar_time (EQU) in mos_api.inc: sysvar_time:		EQU	00h	; 4: Clock timer in centiseconds (incremented by 2 every VBLANK)
sysvar_vkeycode (EQU) in mos_api.inc: sysvar_vkeycode:	EQU	17h	; 1: Virtual key code from FabGL
sysvar_vkeycount (EQU) in mos_api.inc: sysvar_vkeycount:	EQU	19h	; 1: Incremented every time a key packet is received
sysvar_vkeydown (EQU) in mos_api.inc: sysvar_vkeydown:	EQU	18h	; 1: Virtual key state from FabGL (0=up, 1=down)
sysvar_vpd_pflags (EQU) in mos_api.inc: sysvar_vpd_pflags:	EQU	04h	; 1: Flags to indicate completion of VDP commands
vdp_audio (EQU) in mos_api.inc: vdp_audio:		EQU	85h
vdp_cursor (EQU) in mos_api.inc: vdp_cursor:		EQU	82h
vdp_gp (EQU) in mos_api.inc: vdp_gp:			EQU 	80h
vdp_keycode (EQU) in mos_api.inc: vdp_keycode:		EQU 	81h
vdp_keystate (EQU) in mos_api.inc: vdp_keystate:		EQU	88h
vdp_logicalcoords (EQU) in mos_api.inc: vdp_logicalcoords:	EQU	C0h
vdp_mode (EQU) in mos_api.inc: vdp_mode:		EQU	86h
vdp_pflag_audio (EQU) in mos_api.inc: vdp_pflag_audio:	EQU	00001000b
vdp_pflag_cursor (EQU) in mos_api.inc: vdp_pflag_cursor:	EQU	00000001b
vdp_pflag_mode (EQU) in mos_api.inc: vdp_pflag_mode:		EQU	00010000b
vdp_pflag_mouse (EQU) in mos_api.inc: vdp_pflag_mouse:	EQU	01000000b
vdp_pflag_point (EQU) in mos_api.inc: vdp_pflag_point:	EQU	00000100b
vdp_pflag_rtc (EQU) in mos_api.inc: vdp_pflag_rtc:		EQU	00100000b
vdp_pflag_scrchar (EQU) in mos_api.inc: vdp_pflag_scrchar:	EQU	00000010b
vdp_rtc (EQU) in mos_api.inc: vdp_rtc:		EQU	87h
vdp_scrchar (EQU) in mos_api.inc: vdp_scrchar:		EQU	83h
vdp_scrpixel (EQU) in mos_api.inc: vdp_scrpixel:		EQU	84h
vdp_terminalmode (EQU) in mos_api.inc: vdp_terminalmode:	EQU	FFh
